    
Name                                     Id                                            Version
SumatraPDF                               SumatraPDF.SumatraPDF                         3.2
Write                                    StylusLabs.Write                              3.0.0
StreamlinkTwitchGui                      Streamlink.StreamlinkTwitchGui                1.10.0
Streamlink                               Streamlink.Streamlink                         1.5.0
StreamlabsOBS                            Streamlabs.StreamlabsOBS                      0.24.0
StrawberryPerl                           StrawberryPerl.StrawberryPerl                 5.32.0.1
Stellarium                               Stellarium.Stellarium                         0.20.3
GitHubReleaseNotes                       StefHeyenrath.GitHubReleaseNotes              1.0.5.3
Franz                                    StefanMalzner.Franz                           5.5.0
grepWin                                  StefanKueng.grepWin                           2.0.3
mpv.net                                  stax76.mpv.net                                5.4.8.0
StandardNotes                            StandardNotes.StandardNotes                   3.4.1
Viscosity                                SparkLabs.Viscosity                           1.8.6
OpenVPN Configuration Generator          SparkLabs.openvpn-configuration-generator     1.0.7
HackFonts                                SourceFoundry.HackFonts                       1.6.0
SoftPerfectNetworkScanner                SoftPerfect.SoftPerfectNetworkScanner         7.2.8
Free Download Manager                    SoftDeluxe.FreeDownloadManager                6.13.0.3463
snaketail                                snakefoot.snaketail                           1.9.6
SMPlayer                                 SMPlayer.SMPlayer                             20.4.2
IsoBuster                                SmartProjects.IsoBuster                       4.6
SoapUI Open Source                       SmartBear.SoapUIOpenSource                    5.5.0
Linrad                                   SM5BSZ.Linrad                                 04.14a
Autopsy                                  SleuthKit.Autopsy                             4.17.0
Slack                                    SlackTechnologies.Slack                       4.12.0
CCEnhancer                               SingularLabs.CCEnhancer                       4.5.6
Enpass                                   Sinew.Enpass                                  6.5.2.725
Citycraft Launcher                       Simon511000.CitycraftLauncher                 1.9.9
Signal                                   Signal.Signal                                 1.38.2
ShareX                                   ShareX.ShareX                                 13.3.0
deepvocal Geping voicebank               ShaoheProject.deepvocal-Geping                1.0
Jami                                     SFLinux.Jami                                  202005111654
Discord Media Loader                     Serraniel.DiscordMediaLoader                  1.4.0.0
Intuiter                                 Seonglae.Intuiter                             0.5.2
Econap                                   SelectCode.econap                             1.3.4.0
PDF Desktop                              Sejda.PDFDesktop                              6.0.8.0
CertDump                                 secana.CertDump                               1.1.5
Search Deflector                         SearchDeflector.SearchDeflector               1.3.2
Beyond Compare 4                         ScooterSoftware.BeyondCompare4                4.3.7.25118
Scilab                                   Scilab.Scilab                                 6.1.0
FFFTP                                    Sayuri.FFFTP                                  4.7
Trezor Bridge                            SatoshiLabs.TrezorBridge                      2.0.27
Zulu-UC                                  Sangoma.Zulu                                  3.5.1
DYMO Label                               SanfordLP.DYMOLabel                           8.7.3.46663
DYMO Connect                             SanfordLP.DYMOConnect                         1.3.1
Google Play Music Desktop Player         SamuelAttard.GooglePlayMusicDesktopPlayer     4.7.1
Smart Switch                             Samsung.SmartSwitch                           4.2.20072.4
Samsung DeX                              Samsung.DeX                                   1.0.0.65
WinCompose                               SamHocevar.WinCompose                         0.9.4
SageMath                                 SageMath.SageMath                             9.0
CaesiumPH                                SaeraSoft.CaesiumPH                           0.9.5
rust-msvc                                Rustlang.rust-msvc-x86                        1.45.2
rust-msvc                                Rustlang.rust-msvc-x64                        1.45.2
rust-msvc                                Rustlang.rust-msvc                            1.45.2
rust-gnu                                 Rustlang.rust-gnu-x86                         1.45.2
rust-gnu                                 Rustlang.rust-gnu-x64                         1.45.2
rust-gnu                                 Rustlang.rust-gnu                             1.45.2
Ruby with DevKit                         RubyInstallerTeam.RubyWithDevKit              2.7.2.1
Ruby                                     RubyInstallerTeam.Ruby                        2.7.2
RoyalTS                                  RoyalApps.RoyalTS                             5.03.61110.0
L'Math                                   RoniLehto.LMath                               1.6
Rocket.Chat                              RocketChat.RocketChat                         3.1.0
Notepad3                                 rizonesoft.Notepad3                           RC1_5.20.615.1
League Of Legends EUW                    RiotGames.LeagueOfLegends                     1.0.0.0
NSwagStudio                              RicoSuter.NSwagStudio                         13.7.0
Bili                                     richasy.bili                                  1.3.8.0
RevoUninstallerPro                       RevoUninstaller.RevoUninstallerPro            4.4.0.0
RevoUninstaller                          RevoUninstaller.RevoUninstaller               2.2.0.0
Retroshare                               Retroshare.Retroshare                         0.6.5
ResponsivelyApp                          ResponsivelyApp.ResponsivelyApp               0.1.5
VirtViewer                               RedHat.VirtViewer                             9.0-256
VNCViewer                                RealVNC.VNCViewer                             6.0.0
HWiNFO                                   REALiX.HWiNFO                                 6.32
RawTherapee                              RawTherapee.RawTherapee                       5.8
Reddit-Wallpaper-Changer                 Rawns.Reddit-Wallpaper-Changer                1.0.13.0
Raspberry Pi Imager                      RaspberryPiFoundation.RaspberryPiImager       1.5
WinRAR                                   RARLab.WinRAR                                 5.91
SharpKeys                                RandyRants.SharpKeys                          3.9.2
Textify                                  rammichael.Textify                            1.8.2
7+ Taskbar Tweaker                       rammichael.7+TaskbarTweaker                   Latest
Rambox Community Edition                 Rambox.RamboxCE                               0.7.5
Winamp                                   Radionomy.Winamp                              5.8.3660-Beta
AssaultCube                              RabidViperProductions.AssaultCube             1.2.0.2
Qv2ray                                   Qv2ray.Qv2ray                                 2.6.3
QTextPad                                 QTextPad.QTextPad                             1.4
QMPlay2                                  QMPlay2.QMPlay2                               19.12.19
Qalculate!                               Qalculate.Qalculate                           3.15.0
puppet                                   PuppetLabs.puppet                             3.8.7.0
Puppet Agent                             Puppet.puppet-agent                           7.0.0
RocketDock                               PunkLabs.RocketDock                           1.3.5
Private Internet Access                  PrivateInternetAccess.PrivateInternetAccess   2.4.0
Geekbench                                PrimateLabs.Geekbench                         5.3.1
Postman                                  Postman.Postman                               7.36.1
pgAdmin4-x64                             PostgreSQL.pgAdmin-x64                        4.29.0.0
pgAdmin4                                 PostgreSQL.pgAdmin                            4.29.0.0
Plex Media Server                        Plex.PlexMediaServer                          1.21.0.3711
Plex Media Player                        plex.plexmediaplayer                          2.58.0.1076
Plexamp                                  Plex.Plexamp                                  3.3.1
PlayStation Now                          PlayStation.PSNow                             11.2.2
Playnite                                 Playnite.Playnite                             8.7
Recuva                                   Piriform.Recuva                               1.53.1087
Defraggler                               Piriform.Defraggler                           2.22.995
CCleaner                                 Piriform.CCleaner                             5.75.8238
PhraseExpress                            PhraseExpress.PhraseExpress                   15.0.70
Transmission Remote GUI                  PeterDaveHello.TransmissionRemoteGUI          5.18.0
Persepolis                               PersepolisDownloadManager.Persepolis          3.2.0.0
Cacher                                   PenguinLabs.Cacher                            202.30.4
PDFsam Basic                             PDFsam.PDFsam                                 4.1.4
AdvancedRestClient                       PawelPsztyc.AdvancedRestClient                15.0.5
Beaker Browser                           PaulFrazee.BeakerBrowser                      0.8.10
MSIXCommander                            PascalBerger.MSIXCommander                    1.0.7.5
Parsec                                   ParsecCloudInc.Parsec                         150.50
Paragon Backup & Recovery CE             Paragon.ParagonBackupRecoveryCE               17.9.3.4927
Paradox Launcher                         ParadoxInteractive.ParadoxLauncher            1.8.4
PDFlux                                   PaodingAI.PDFlux                              3.12.10.0
Utaformatix                              oxygendioxide.utaformatix                     3.1
BatteryBar                               OsirisDevelopment.BatteryBar                  3.6.6
Oracle VM VirtualBox Development         Oracle.VirtualBoxDevelopment                  6.1.97-141743
Oracle VM VirtualBox                     Oracle.VirtualBox                             6.1.16
MySQL                                    Oracle.MySQL                                  8.0.22
Java Runtime Environment                 Oracle.JavaRuntimeEnvironment                 8.0.271
Opera GX                                 Opera.OperaGX                                 68.0.3618.197
Opera                                    Opera.Opera                                   71.0.3770.198
FlashFXP                                 OpenSight.FlashFXP                            5.4.0
Open Shop Channel Downloader             OpenShopChannel.Downloader                    1.2.10
OpenSCAD                                 OpenSCAD.OpenSCAD                             2019.05
OpenRA                                   OpenRA.OpenRA                                 20200503
4K Youtube to MP3 Free                   OpenMedia.4KYoutubetoMP3                      3.12.4
4K Video Downloader Free                 OpenMedia.4KVideoDownloader                   4.13.0.3800
Avro                                     OmicronLab.Avro                               5.6.0
Olive Video Editor                       OliveTeam.OliveVideoEditor                    0.1.0
Rapid Environment Editor                 OlegDanilov.RapidEnvironmentEditor            9.2.0.937
NZXT CAM                                 NZXT.CAM                                      4.16.0
Nvidia RTX Voice                         Nvidia.RTXVoice                               0.5.12.6
Nvidia GeForce Experience                Nvidia.GeForceExperience                      3.20.5.70
NVDA                                     NVAccess.NVDA                                 2020.3
NuGetPackageExplorer                     NuGetPackageExplorer.NuGetPackageExplorer     5.8.34.0
Notepads                                 Notepads.Notepads                             1.3.8.0
Notepad2-mod                             Notepad2mod.Notepad2mod                       4.2.25.998
Notepad++                                Notepad++.Notepad++                           7.9.1
Nitro Pro                                NitroSoftware.NitroPro                        13.22.0.414
Palamedes                                nikpapa.palamedes                             0.47
ScreenToGif                              NickeManarin.ScreenToGif                      2.27.3
Tux Paint Stamps                         NewBreedSoftware.TuxPaintStamps               2018.09.01
Tux Paint                                NewBreedSoftware.TuxPaint                     0.9.23
Netease Cloud Music UWP                  Netease.CloudMusicUWP                         1.4.1.0
Netease Cloud Music                      Netease.CloudMusic                            2.7.1.198242
NeoLoad                                  Neotys.NeoLoad                                7.3
Beatdrop                                 NathanielJohns.Beatdrop                       2.6.2
NASM                                     NASM.NASM                                     2.15.05
